Lines of code metrics,Fr., 11 Apr. 2025 12:32:19 MESZ
Method,CLOC,JLOC,LOC,NCLOC,RLOC
StatueRepository.loadStructures(),0,0,20,20,"86,96%"
ch.unibas.dmi.dbis.cs108.Main.main(String[]),4,7,24,17,"80,00%"
ch.unibas.dmi.dbis.cs108.SETTINGS.Config.Config(int),0,0,3,3,"27,27%"
ch.unibas.dmi.dbis.cs108.SETTINGS.Config.getValue(),0,0,3,3,"27,27%"
ch.unibas.dmi.dbis.cs108.StartApps.findAvailableTerminal(),5,3,16,13,"16,67%"
ch.unibas.dmi.dbis.cs108.StartApps.main(String[]),16,7,75,58,"78,12%"
ch.unibas.dmi.dbis.cs108.client.app.ClientMain.checkConnection(NetworkController),4,6,22,16,"31,43%"
ch.unibas.dmi.dbis.cs108.client.app.ClientMain.main(String[]),6,6,41,34,"58,57%"
ch.unibas.dmi.dbis.cs108.client.app.GameApplication.main(String[]),5,6,9,3,"4,05%"
ch.unibas.dmi.dbis.cs108.client.app.GameApplication.start(Stage),15,7,56,41,"25,23%"
ch.unibas.dmi.dbis.cs108.client.app.GameApplication.stop(),5,4,13,7,"5,86%"
ch.unibas.dmi.dbis.cs108.client.app.MainLogic.main(String[]),12,0,52,41,"96,30%"
"ch.unibas.dmi.dbis.cs108.client.communication.CommunicationMediator.CommunicationMediator(NetworkController, Game)",5,7,13,6,"3,89%"
"ch.unibas.dmi.dbis.cs108.client.communication.CommunicationMediator.isValidArgument(String[], int)",3,6,10,4,"2,99%"
ch.unibas.dmi.dbis.cs108.client.communication.CommunicationMediator.publishInfoChatEvent(String),4,5,11,6,"3,29%"
ch.unibas.dmi.dbis.cs108.client.communication.CommunicationMediator.registerCoreListeners(),5,4,7,2,"2,10%"
ch.unibas.dmi.dbis.cs108.client.communication.CommunicationMediator.registerNetworkListeners(),10,3,93,83,"27,84%"
ch.unibas.dmi.dbis.cs108.client.communication.CommunicationMediator.registerUIListeners(),6,3,178,173,"53,29%"
"ch.unibas.dmi.dbis.cs108.client.core.Game.Game(Player, Shop)",5,6,13,6,"8,33%"
ch.unibas.dmi.dbis.cs108.client.core.Game.buyStatue(String),4,4,7,2,"4,49%"
ch.unibas.dmi.dbis.cs108.client.core.Game.buyStructure(String),4,4,7,2,"4,49%"
"ch.unibas.dmi.dbis.cs108.client.core.Game.buyTile(int, int)",4,5,8,2,"5,13%"
ch.unibas.dmi.dbis.cs108.client.core.Game.endTurn(),4,3,6,2,"3,85%"
ch.unibas.dmi.dbis.cs108.client.core.Game.getBoard(),3,4,7,3,"4,49%"
ch.unibas.dmi.dbis.cs108.client.core.Game.getPlayer(),3,4,7,3,"4,49%"
ch.unibas.dmi.dbis.cs108.client.core.Game.getShop(),3,4,7,3,"4,49%"
"ch.unibas.dmi.dbis.cs108.client.core.Game.placeStatue(int, int, String)",4,6,9,2,"5,77%"
"ch.unibas.dmi.dbis.cs108.client.core.Game.placeStructure(int, int, String)",4,6,9,2,"5,77%"
ch.unibas.dmi.dbis.cs108.client.core.Game.startTurn(),4,3,6,2,"3,85%"
ch.unibas.dmi.dbis.cs108.client.core.Game.updatePlayerName(String),5,5,9,3,"5,77%"
ch.unibas.dmi.dbis.cs108.client.core.Game.upgradeStatue(String),4,4,7,2,"4,49%"
"ch.unibas.dmi.dbis.cs108.client.core.Game.usePlayerArtifact(int, String)",4,5,8,2,"5,13%"
ch.unibas.dmi.dbis.cs108.client.core.Game.useStatue(String),4,4,7,2,"4,49%"
ch.unibas.dmi.dbis.cs108.client.core.Game.useStructure(String),4,4,7,2,"4,49%"
"ch.unibas.dmi.dbis.cs108.client.core.Game.useTileArtifact(int, int, int)",4,6,9,2,"5,77%"
"ch.unibas.dmi.dbis.cs108.client.core.commands.BuyTileCommand.BuyTileCommand(Player, Tile)",4,6,10,4,"34,48%"
"ch.unibas.dmi.dbis.cs108.client.core.commands.BuyTileCommand.execute(GameState, EventDispatcher)",4,6,11,5,"37,93%"
"ch.unibas.dmi.dbis.cs108.client.core.commands.Command.execute(GameState, EventDispatcher)",4,n/a,n/a,1,"53,85%"
"ch.unibas.dmi.dbis.cs108.client.core.entities.Artefact.Artefact(int, String, String, String)",4,8,14,6,"26,92%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Artefact.getArtifactID(),3,4,7,3,"13,46%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Artefact.getDescription(),3,4,7,3,"13,46%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Artefact.getName(),3,4,7,3,"13,46%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Artefact.getUseType(),3,4,7,3,"13,46%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Board.Board(),4,4,7,3,"14,29%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Board.getTile(int),4,6,14,8,"28,57%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Board.getTiles(),4,5,8,3,"16,33%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Board.initBoard(int),9,6,12,2,"24,49%"
"ch.unibas.dmi.dbis.cs108.client.core.entities.ClientActiveTrap.ClientActiveTrap(int, int)",4,6,10,4,"55,56%"
"ch.unibas.dmi.dbis.cs108.client.core.entities.FixedStructure.FixedStructure(int, String, String, String)",5,9,15,6,"19,48%"
ch.unibas.dmi.dbis.cs108.client.core.entities.FixedStructure.getDescription(),4,5,8,3,"10,39%"
ch.unibas.dmi.dbis.cs108.client.core.entities.FixedStructure.getId(),4,5,8,3,"10,39%"
ch.unibas.dmi.dbis.cs108.client.core.entities.FixedStructure.getName(),4,5,8,3,"10,39%"
ch.unibas.dmi.dbis.cs108.client.core.entities.FixedStructure.getUsage(),4,5,8,3,"10,39%"
ch.unibas.dmi.dbis.cs108.client.core.entities.GameRound.GameRound(),4,4,8,4,"11,76%"
ch.unibas.dmi.dbis.cs108.client.core.entities.GameRound.addPlayerRound(PlayerRound),4,5,8,3,"11,76%"
"ch.unibas.dmi.dbis.cs108.client.core.entities.GameRound.executeRound(GameState, EventDispatcher, RuleProcessor)",6,8,15,6,"22,06%"
ch.unibas.dmi.dbis.cs108.client.core.entities.GameRound.getNumber(),4,5,8,3,"11,76%"
ch.unibas.dmi.dbis.cs108.client.core.entities.GameRound.nextRound(),3,3,6,3,"8,82%"
ch.unibas.dmi.dbis.cs108.client.core.entities.GameRound.setNumber(int),4,5,8,3,"11,76%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.Player(String),6,7,14,7,"12,07%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.addEnergy(int),0,0,3,3,"2,59%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.addOwnedTile(Tile),0,0,3,3,"2,59%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.addRunes(int),0,0,3,3,"2,59%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.getEnergy(),4,5,8,3,"6,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.getId(),5,6,9,3,"7,76%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.getName(),4,5,8,3,"6,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.getOwnedTiles(),0,0,3,3,"2,59%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.getPlayerID(),0,0,3,3,"2,59%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.getPlayer_id(),4,5,8,3,"6,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.getRunes(),4,5,8,3,"6,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.setEnergy(int),4,5,8,3,"6,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.setName(String),4,5,8,3,"6,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.setOwnedTiles(List<Tile>),0,0,3,3,"2,59%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.setRunes(int),4,5,8,3,"6,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Player.toString(),0,0,8,8,"6,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.PlayerRound.PlayerRound(),0,0,5,5,"13,51%"
ch.unibas.dmi.dbis.cs108.client.core.entities.PlayerRound.addCommand(Command),0,0,3,3,"8,11%"
"ch.unibas.dmi.dbis.cs108.client.core.entities.PlayerRound.executeCommands(GameState, EventDispatcher)",0,0,5,5,"13,51%"
ch.unibas.dmi.dbis.cs108.client.core.entities.PlayerRound.getActivePlayer(),0,0,3,3,"8,11%"
ch.unibas.dmi.dbis.cs108.client.core.entities.PlayerRound.getCommands(),0,0,3,3,"8,11%"
ch.unibas.dmi.dbis.cs108.client.core.entities.PlayerRound.getNumber(),0,0,3,3,"8,11%"
ch.unibas.dmi.dbis.cs108.client.core.entities.PlayerRound.nextRound(),1,0,4,3,"10,81%"
ch.unibas.dmi.dbis.cs108.client.core.entities.PlayerRound.setActivePlayer(Player),0,0,3,3,"8,11%"
ch.unibas.dmi.dbis.cs108.client.core.entities.PlayerRound.setNumber(int),0,0,3,3,"8,11%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Shop.Shop(),0,0,6,6,"7,79%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Shop.blockStatue(),0,0,3,3,"3,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Shop.getBuyableStatues(),0,0,3,3,"3,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Shop.getBuyableStructures(),0,0,3,3,"3,90%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Shop.loadStatues(),1,0,19,18,"24,68%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Shop.loadStructures(),3,0,19,16,"24,68%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Shop.removeStructure(Structure),0,0,3,3,"3,90%"
"ch.unibas.dmi.dbis.cs108.client.core.entities.Statue.Statue(int, String, String, String)",0,0,6,6,"25,00%"
ch.unibas.dmi.dbis.cs108.client.core.entities.Statue.getDescription(),0,0,3,3,"12,50%"
